business_name,product_name,phone,address,city,area,website,email,rating,reviews,category,source_url,date_collected,has_website
Gami Enterprises,"Gplus WhiteFloorCleaner, 1 L",08046043496,"PuneShop No. 8, 9, Ground Floor, Ganga Chambers, Near Ashok Chowk, 119, Pune - 411002, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.061132,False
V Kleen Solutions,Vastvik PerfumedFloorCleaner Lavender 1L,07942538802,"Pune- AshtapurGat No.723, Milkat No.0961, Barangani Wasti Road, Wade Bolhai,, Ashtapur, Pune - 412207, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076380,False
Santoshi Mata Enterprises,"MinitekFloorCleaner FP, 5 L",08043823405,"PuneH No 147, Pune - 412109, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076490,False
Sobiz Internationals,"250ml SteriMopFloorCleaner, Lime",07949309584,"PuneFlat No. 304, Orange Province, Wakad Road , Pimpri Chinchwad, Pune - 411027, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076541,False
Gaurav Enterprises,Harpic Oxifresh scentedFloorCleaner,08048968629,"PuneShop No. 6, Sugandha Chambers No. 171-A, Pune - 411002, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076575,False
Atlas Commodities Private Limited,"Glito Jasmine PerfumedFloorCleaner, 1 liter",08048964150,"Mumbai- Deals in PuneBungalow No. 235/246, Sector 1-A, Off Gorai Road, Mumbai - 400091, Maharashtra ( 120 km from pune )",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076604,False
Rajal Trading Co.,"White DesertFloorCleaner, 5 L",07949323954,"Pune- Raviwar Peth1145, Raviwar Peth, Raviwar Peth, Pune - 411002, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076633,False
Wellprag Nutraceutical (OPC) Pvt. Ltd.,"5 LitreFloorCleaner, Jasmine",07947155496,"Pune- DhayariFlat No 102A, Vasanti Apartment, Lane Number 30/31, Dhayari, Ganesh Nagar,, Dhayari, Pune - 411041, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076658,False
Siddhi Sales,Ozone Lime FreshFloorCleaner 5 Liter,07942716467,"Pune- Sadashiv Peth502, 5th Floor, Siddhi Platinum, Natu Baug, Sadashiv Peth, Pune - 411030, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076683,False
Samanthi Life Sciences (OPC) Private Limited,"IndustrialFloorCleaner Liquid, Cleaner Type: General Purpose, 5 L",08048612678,"Pune- Kondhwa BKFlat No A-504, A Wing, Kamal Kaanhaa SN-66 HN-5, Ko, Ravindra Arjun Patare, Katraj Kondhwa Road Kondhwa Khurd, Kondhwa BK, Pune - 411048, Maharashtra",pune,,,,,,floor cleaner,https://dir.indiamart.com/search.mp?ss=floor+cleaner&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17807|com-cf:nl|ptrs:na|mc:6454|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260101|prdt:260218|msf:hs|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:10,2026-02-18T23:22:50.076707,False
