business_name,product_name,phone,address,city,area,website,email,rating,reviews,category,source_url,date_collected,has_website
Skyprint,Pens,07949093115,"Pune- Pimple Gurav4, Flat-B/405 , Karan Paradise, S NO.41/5/4/1,S Sewtabhai Shahid Kasid Dispensary, Pimple Gurav Pimpri Chinchwad, Pimple Gurav, Pune - 411061, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.609998,False
K Joshi & Company,Tricolour For 26 Jan Plastic Pens,08046043936,"Pune- Sadashiv Peth1745/2, Sadashiv Peth, Near Bhikardas Maruti Temple, Sadashiv Peth, Pune - 411030, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610278,False
Dipti Enterprises,Pen Printing Services,08043814416,"PuneGround Floor, Shop No 7/629, Kakde Arcade, Budhwar Peth Road, Pune - 411002, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610325,False
Print Source,Metal DIARY BOTTLE PEN COMBO,08047842959,"PuneSR No 507, Shaniwar Peth, Pune - 411030, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610355,False
Shakti Printing Hub,"Metal Diary Pen Bottle, Form: Liquid",08048271832,"Pune- Shaniwar Peth (Pune)Shop No 10, CTS No 483, Ground Floor Roshni Palace, Shaniwar Peth, Shaniwar Peth (Pune), Pune - 411030, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610380,False
Wse Writing Products,Plastic Spartex Pearly Ball Pen,08047646164,"Kolkata- Deals in PuneThe Legacy, 3rd Floor, 35A & 35B, 25A Shakespeare Sarani, Shakespeare Sarani, Kolkata - 700017, West Bengal ( 1575 km from pune )",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610406,False
SRW Industries,Roller Pen SRW,07942532427,"Pune- NarheM/No 6/1290, S.T.Colony, Wagholi, Narhe, Pune - 412207, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610427,False
Happiness Stores,Retractable Plastic Ball Pen,08046053752,"Pune- Salunke Vihar1st Floor,CTS No-18,21, Office No-155, Ashoka Pavilion, Ghorapadi, Salunke Vihar, Pune - 411001, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610446,False
New PPC Stationery And Printing Hub,"Blue Metal Pierre Cardin Fountain Pen, For Office, Packaging Type: Box",08046033688,"Pune- Deccan GymkhanaGround Floor, Shop No 3, Karnik Heritage, Kelkar Road, 1225 D Shivajinagar, Deccan Gymkhana, Pune - 411004, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610467,False
R K Trading Corporation,Metal Premium Pen,08043864105,"Pune2nd Floor, B Wing, Shop No.216, Ellora Shopee, Sector 1, Plot No 1/2, Indrayani Nagar, Pimpri Chinchwad, Pune - 411026, Maharashtra",pune,,,,,,pen,https://dir.indiamart.com/search.mp?ss=pen&city=pune&v=4&mcatid=&catid=&crs=glb&trc=xim&cq=Pune&tags=res:RC4|ktp:N0|mtp:G|wc:1|lcf:3|cq:pune|qr_nm:gl-gd|cs:15905|com-cf:nl|ptrs:na|mc:20428|cat:516|qry_typ:P|lang:en|tyr:1|qrd:260218|mrd:260218|prdt:260218|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:10,2026-02-18T23:25:12.610486,False
